time_s,time_h,z_m,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
197220,54.78333333,0.045,0.152963,0.152864,0.152579,0.152101,0.151433,0.150566,0.149487,0.148188,0.146660,0.144884,0.142832,0.140483,0.137805,0.134722,0.131176,0.127049,0.122161,0.116171,0.108412,0.096933,0.052898
197220,54.78333333,0.050,0.152932,0.152833,0.152548,0.152070,0.151402,0.150536,0.149458,0.148159,0.146632,0.144856,0.142805,0.140457,0.137780,0.134698,0.131154,0.127028,0.122142,0.116153,0.108397,0.096920,0.052895
197220,54.78333333,0.055,0.152887,0.152789,0.152503,0.152026,0.151359,0.150492,0.149415,0.148118,0.146591,0.144816,0.142766,0.140420,0.137744,0.134664,0.131122,0.126997,0.122113,0.116128,0.108374,0.096902,0.052892
197220,54.78333333,0.060,0.152823,0.152725,0.152440,0.151963,0.151296,0.150431,0.149355,0.148058,0.146533,0.144760,0.142712,0.140367,0.137693,0.134616,0.131076,0.126954,0.122073,0.116091,0.108342,0.096876,0.052887
197220,54.78333333,0.065,0.152733,0.152635,0.152350,0.151874,0.151208,0.150344,0.149269,0.147974,0.146450,0.144679,0.142634,0.140292,0.137621,0.134546,0.131010,0.126893,0.122017,0.116040,0.108297,0.096839,0.052880
197220,54.78333333,0.070,0.152604,0.152507,0.152222,0.151747,0.151082,0.150220,0.149147,0.147854,0.146333,0.144565,0.142523,0.140185,0.137518,0.134449,0.130917,0.126806,0.121936,0.115967,0.108233,0.096787,0.052870
197220,54.78333333,0.075,0.152412,0.152314,0.152031,0.151557,0.150894,0.150034,0.148964,0.147675,0.146158,0.144395,0.142357,0.140025,0.137365,0.134302,0.130779,0.126676,0.121816,0.115858,0.108137,0.096709,0.052855
197220,54.78333333,0.080,0.152132,0.152035,0.151753,0.151281,0.150621,0.149764,0.148698,0.147414,0.145903,0.144147,0.142117,0.139794,0.137143,0.134090,0.130578,0.126488,0.121642,0.115700,0.107999,0.096597,0.052834
197220,54.78333333,0.085,0.151729,0.151632,0.151352,0.150883,0.150226,0.149375,0.148316,0.147039,0.145537,0.143790,0.141772,0.139461,0.136823,0.133786,0.130290,0.126218,0.121393,0.115474,0.107801,0.096436,0.052804
197220,54.78333333,0.090,0.151105,0.151009,0.150731,0.150267,0.149617,0.148774,0.147724,0.146460,0.144971,0.143240,0.141239,0.138947,0.136331,0.133317,0.129847,0.125803,0.121010,0.115127,0.107497,0.096189,0.052759
197220,54.78333333,0.095,0.150175,0.150081,0.149808,0.149350,0.148710,0.147879,0.146844,0.145597,0.144129,0.142421,0.140446,0.138183,0.135599,0.132620,0.129189,0.125188,0.120441,0.114613,0.107047,0.095824,0.052692
197220,54.78333333,0.100,0.148686,0.148595,0.148328,0.147881,0.147256,0.146445,0.145435,0.144217,0.142781,0.141111,0.139178,0.136961,0.134428,0.131506,0.128137,0.124204,0.119534,0.113792,0.106329,0.095242,0.052589
197220,54.78333333,0.105,0.146327,0.146239,0.145982,0.145553,0.144953,0.144172,0.143200,0.142028,0.140645,0.139033,0.137167,0.135025,0.132573,0.129740,0.126470,0.122646,0.118096,0.112492,0.105192,0.094319,0.052431
197220,54.78333333,0.110,0.142445,0.142363,0.142123,0.141722,0.141160,0.140430,0.139520,0.138420,0.137121,0.135606,0.133848,0.131826,0.129507,0.126822,0.123713,0.120068,0.115718,0.110341,0.103309,0.092792,0.052186
197220,54.78333333,0.115,0.135721,0.135647,0.135435,0.135079,0.134580,0.133930,0.133119,0.132138,0.130978,0.129621,0.128043,0.126223,0.124128,0.121693,0.118862,0.115525,0.111521,0.106540,0.099981,0.090086,0.051797
197220,54.78333333,0.120,0.122585,0.122527,0.122359,0.122077,0.121681,0.121166,0.120522,0.119741,0.118816,0.117731,0.116466,0.115000,0.113307,0.111327,0.109010,0.106257,0.102922,0.098721,0.093106,0.084478,0.051157
197220,54.78333333,0.125,0.052681,0.052675,0.052656,0.052626,0.052583,0.052529,0.052462,0.052382,0.052290,0.052186,0.052068,0.051937,0.051792,0.051634,0.051460,0.051271,0.051065,0.050840,0.050593,0.050316,0.049998
197280,54.80000000,0.000,0.153007,0.152908,0.152622,0.152144,0.151476,0.150608,0.149529,0.148229,0.146700,0.144922,0.142869,0.140519,0.137839,0.134755,0.131207,0.127078,0.122188,0.116195,0.108433,0.096949,0.052901
