time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
51420,1.230733,323.1391,323.1394,323.1404,323.1421,323.1447,323.1482,323.1528,323.1587,323.1662,323.1756,323.1876,323.2036,323.2260,,,,,,,,,323.2349
51480,1.230600,323.1477,323.1481,323.1494,323.1515,323.1545,323.1585,323.1634,323.1692,323.1758,323.1827,323.1892,323.1937,323.1934,,,,,,,,,323.1918
51540,1.230467,323.1563,323.1567,323.1579,323.1598,323.1623,323.1655,323.1692,323.1733,323.1774,323.1813,323.1849,323.1880,323.1911,,,,,,,,,323.1922
51600,1.230333,323.1636,323.1639,323.1648,323.1664,323.1685,323.1712,323.1744,323.1781,323.1825,323.1875,323.1938,323.2018,323.2129,,,,,,,,,323.2171
51660,1.230200,323.1700,323.1702,323.1711,323.1725,323.1745,323.1770,323.1800,323.1834,323.1872,323.1911,323.1948,323.1976,323.1983,,,,,,,,,323.1978
51720,1.230067,323.1757,323.1760,323.1768,323.1781,323.1799,323.1822,323.1851,323.1885,323.1926,323.1976,323.2040,323.2127,323.2253,,,,,,,,,323.2304
51780,1.229933,323.1818,323.1821,323.1830,323.1845,323.1866,323.1895,323.1932,323.1980,323.2040,323.2116,323.2212,323.2333,323.2487,,,,,,,,,323.2541
51840,1.229800,323.1892,323.1895,323.1906,323.1925,323.1951,323.1987,323.2032,323.2088,323.2155,323.2236,323.2328,323.2432,323.2545,,,,,,,,,323.2580
51900,1.229667,323.1978,323.1982,323.1994,323.2015,323.2044,323.2082,323.2130,323.2189,323.2258,323.2338,323.2430,323.2536,323.2659,,,,,,,,,323.2700
51960,1.229533,323.2061,323.2065,323.2076,323.2094,323.2117,323.2146,323.2177,323.2206,323.2227,323.2229,323.2194,323.2096,323.1890,,,,,,,,,323.1797
52020,1.229400,323.2110,323.2112,323.2117,323.2123,323.2131,323.2137,323.2138,323.2130,323.2110,323.2075,323.2023,323.1960,323.1900,,,,,,,,,323.1887
52080,1.229267,323.2112,323.2111,323.2110,323.2106,323.2098,323.2085,323.2062,323.2028,323.1977,323.1902,323.1796,323.1642,323.1418,,,,,,,,,323.1332
52140,1.229133,323.2072,323.2070,323.2063,323.2051,323.2033,323.2007,323.1974,323.1932,323.1882,323.1829,323.1780,323.1751,323.1773,,,,,,,,,323.1796
52200,1.229000,323.2017,323.2015,323.2007,323.1994,323.1976,323.1954,323.1927,323.1897,323.1866,323.1834,323.1802,323.1768,323.1724,,,,,,,,,323.1707
52260,1.228900,323.1968,323.1966,323.1959,323.1949,323.1935,323.1917,323.1898,323.1877,323.1856,323.1837,323.1822,323.1816,323.1826,,,,,,,,,323.1833
52320,1.228800,323.1930,323.1928,323.1923,323.1915,323.1905,323.1891,323.1876,323.1859,323.1839,323.1817,323.1789,323.1752,323.1695,,,,,,,,,323.1673
52380,1.228700,323.1892,323.1891,323.1885,323.1875,323.1861,323.1841,323.1814,323.1777,323.1725,323.1652,323.1546,323.1392,323.1163,,,,,,,,,323.1077
52440,1.228600,323.1830,323.1827,323.1817,323.1799,323.1772,323.1734,323.1681,323.1611,323.1517,323.1393,323.1232,323.1025,323.0762,,,,,,,,,323.0673
52500,1.228500,323.1728,323.1723,323.1707,323.1680,323.1640,323.1586,323.1515,323.1426,323.1316,323.1184,323.1030,323.0857,323.0668,,,,,,,,,323.0612
52560,1.228400,323.1601,323.1595,323.1577,323.1547,323.1504,323.1449,323.1382,323.1305,323.1221,323.1135,323.1056,323.0999,323.0984,,,,,,,,,323.0992
52620,1.228300,323.1486,323.1481,323.1467,323.1443,323.1412,323.1376,323.1337,323.1301,323.1274,323.1266,323.1290,323.1363,323.1509,,,,,,,,,323.1569
52680,1.228200,323.1421,323.1418,323.1412,323.1403,323.1392,323.1384,323.1382,323.1390,323.1416,323.1467,323.1549,323.1670,323.1838,,,,,,,,,323.1896
52740,1.228100,323.1411,323.1412,323.1412,323.1414,323.1418,323.1427,323.1441,323.1461,323.1487,323.1515,323.1538,323.1541,323.1497,,,,,,,,,323.1471
52800,1.228000,323.1427,323.1428,323.1431,323.1435,323.1441,323.1449,323.1459,323.1469,323.1478,323.1485,323.1488,323.1487,323.1487,,,,,,,,,323.1489
52860,1.227900,323.1441,323.1441,323.1442,323.1444,323.1446,323.1448,323.1447,323.1443,323.1432,323.1411,323.1374,323.1310,323.1207,,,,,,,,,323.1167
52920,1.227800,323.1437,323.1437,323.1435,323.1433,323.1428,323.1421,323.1410,323.1393,323.1370,323.1341,323.1305,323.1266,323.1230,,,,,,,,,323.1222
52980,1.227700,323.1419,323.1418,323.1415,323.1410,323.1402,323.1392,323.1379,323.1364,323.1346,323.1327,323.1308,323.1293,323.1285,,,,,,,,,323.1284
53040,1.227600,323.1402,323.1402,323.1400,323.1398,323.1396,323.1396,323.1398,323.1408,323.1430,323.1473,323.1551,323.1682,323.1901,,,,,,,,,323.1984
53100,1.227500,323.1410,323.1411,323.1413,323.1417,323.1423,323.1433,323.1447,323.1465,323.1485,323.1503,323.1507,323.1477,323.1370,,,,,,,,,323.1319
53160,1.227400,323.1428,323.1429,323.1432,323.1436,323.1442,323.1449,323.1457,323.1466,323.1475,323.1485,323.1500,323.1528,323.1591,,,,,,,,,323.1619
53220,1.227300,323.1442,323.1443,323.1445,323.1447,323.1450,323.1453,323.1454,323.1454,323.1448,323.1432,323.1399,323.1336,323.1218,,,,,,,,,323.1171
53280,1.227200,323.1442,323.1442,323.1441,323.1439,323.1436,323.1430,323.1420,323.1406,323.1386,323.1359,323.1325,323.1290,323.1261,,,,,,,,,323.1257
53340,1.227100,323.1435,323.1435,323.1434,323.1434,323.1434,323.1436,323.1443,323.1458,323.1488,323.1546,323.1649,323.1827,323.2125,,,,,,,,,323.2237
53400,1.227000,323.1456,323.1457,323.1462,323.1470,323.1483,323.1503,323.1531,323.1570,323.1621,323.1681,323.1745,323.1796,323.1799,,,,,,,,,323.1785
53460,1.226900,323.1493,323.1495,323.1500,323.1507,323.1517,323.1528,323.1537,323.1539,323.1527,323.1488,323.1404,323.1247,323.0977,,,,,,,,,323.0877
53520,1.226800,323.1511,323.1511,323.1513,323.1515,323.1519,323.1522,323.1527,323.1536,323.1555,323.1598,323.1690,323.1878,323.2247,,,,,,,,,323.2395
53580,1.226700,323.1536,323.1537,323.1542,323.1550,323.1562,323.1581,323.1607,323.1642,323.1688,323.1743,323.1799,323.1833,323.1799,,,,,,,,,323.1768
53640,1.226600,323.1577,323.1579,323.1585,323.1595,323.1610,323.1628,323.1650,323.1676,323.1702,323.1729,323.1753,323.1776,323.1805,,,,,,,,,323.1816
53700,1.226500,323.1619,323.1621,323.1627,323.1637,323.1650,323.1667,323.1689,323.1714,323.1745,323.1782,323.1828,323.1889,323.1973,,,,,,,,,323.2001
53760,1.226400,323.1649,323.1650,323.1653,323.1657,323.1661,323.1663,323.1658,323.1641,323.1602,323.1523,323.1379,323.1125,323.0689,,,,,,,,,323.0528
53820,1.226300,323.1629,323.1627,323.1622,323.1611,323.1594,323.1567,323.1527,323.1471,323.1395,323.1302,323.1197,323.1104,323.1065,,,,,,,,,323.1073
53880,1.226200,323.1579,323.1577,323.1570,323.1560,323.1547,323.1534,323.1524,323.1526,323.1552,323.1624,323.1775,323.2054,323.2535,,,,,,,,,323.2710
53940,1.226100,323.1580,323.1581,323.1584,323.1591,323.1605,323.1628,323.1666,323.1725,323.1808,323.1919,323.2052,323.2190,323.2294,,,,,,,,,323.2307
54000,1.226000,323.1638,323.1641,323.1650,323.1666,323.1690,323.1722,323.1762,323.1809,323.1859,323.1904,323.1934,323.1933,323.1879,,,,,,,,,323.1853
54060,1.225900,323.1696,323.1699,323.1706,323.1716,323.1730,323.1744,323.1755,323.1759,323.1747,323.1709,323.1631,323.1495,323.1274,,,,,,,,,323.1197
54120,1.225800,323.1720,323.1721,323.1723,323.1726,323.1729,323.1732,323.1734,323.1737,323.1745,323.1767,323.1823,323.1948,323.2203,,,,,,,,,323.2304
54180,1.225700,323.1741,323.1742,323.1746,323.1752,323.1763,323.1778,323.1800,323.1833,323.1879,323.1941,323.2021,323.2112,323.2200,,,,,,,,,323.2218
54240,1.225600,323.1775,323.1777,323.1782,323.1789,323.1800,323.1813,323.1826,323.1837,323.1839,323.1823,323.1770,323.1654,323.1433,,,,,,,,,323.1351
54300,1.225500,323.1788,323.1788,323.1788,323.1787,323.1785,323.1778,323.1763,323.1738,323.1698,323.1638,323.1557,323.1455,323.1341,,,,,,,,,323.1312
54360,1.225400,323.1762,323.1761,323.1756,323.1747,323.1733,323.1712,323.1684,323.1646,323.1598,323.1538,323.1467,323.1386,323.1296,,,,,,,,,323.1271
54420,1.225300,323.1717,323.1714,323.1708,323.1697,323.1682,323.1662,323.1640,323.1616,323.1595,323.1583,323.1590,323.1632,323.1736,,,,,,,,,323.1777
54480,1.225200,323.1686,323.1685,323.1682,323.1677,323.1673,323.1671,323.1674,323.1685,323.1711,323.1759,323.1837,323.1956,323.2130,,,,,,,,,323.2185
54540,1.225100,323.1686,323.1686,323.1687,323.1689,323.1692,323.1697,323.1704,323.1710,323.1712,323.1702,323.1662,323.1563,323.1357,,,,,,,,,323.1278
54600,1.225000,323.1683,323.1683,323.1681,323.1678,323.1673,323.1664,323.1648,323.1623,323.1583,323.1526,323.1447,323.1345,323.1228,,,,,,,,,323.1198
54660,1.224900,323.1650,323.1648,323.1642,323.1632,323.1615,323.1591,323.1558,323.1512,323.1452,323.1372,323.1270,323.1139,323.0969,,,,,,,,,323.0918
54720,1.224800,323.1587,323.1583,323.1574,323.1556,323.1531,323.1497,323.1452,323.1396,323.1327,323.1245,323.1150,323.1044,323.0933,,,,,,,,,323.0905
54780,1.224700,323.1507,323.1503,323.1492,323.1473,323.1447,323.1412,323.1371,323.1324,323.1273,323.1222,323.1177,323.1147,323.1146,,,,,,,,,323.1153
54840,1.224600,323.1442,323.1439,323.1432,323.1420,323.1406,323.1391,323.1380,323.1379,323.1395,323.1443,323.1540,323.1717,323.2015,,,,,,,,,323.2116
54900,1.224500,323.1425,323.1425,323.1425,323.1426,323.1430,323.1438,323.1452,323.1476,323.1509,323.1548,323.1584,323.1594,323.1536,,,,,,,,,323.1503
54960,1.224400,323.1435,323.1436,323.1437,323.1439,323.1442,323.1443,323.1442,323.1434,323.1413,323.1369,323.1289,323.1153,323.0936,,,,,,,,,323.0866
55020,1.224300,323.1430,323.1429,323.1428,323.1425,323.1420,323.1412,323.1402,323.1389,323.1376,323.1370,323.1385,323.1445,323.1599,,,,,,,,,323.1659
55080,1.224200,323.1423,323.1423,323.1423,323.1423,323.1424,323.1428,323.1436,323.1451,323.1477,323.1519,323.1582,323.1668,323.1777,,,,,,,,,323.1806
55140,1.224100,323.1440,323.1441,323.1445,323.1451,323.1461,323.1475,323.1496,323.1524,323.1562,323.1609,323.1665,323.1730,323.1799,,,,,,,,,323.1817
55200,1.224000,323.1479,323.1481,323.1487,323.1498,323.1514,323.1536,323.1565,323.1603,323.1651,323.1711,323.1788,323.1886,323.2017,,,,,,,,,323.2055
55260,1.223900,323.1533,323.1535,323.1543,323.1556,323.1575,323.1599,323.1629,323.1664,323.1703,323.1742,323.1776,323.1795,323.1780,,,,,,,,,323.1768
55320,1.223800,323.1591,323.1594,323.1602,323.1616,323.1636,323.1663,323.1697,323.1742,323.1799,323.1875,323.1982,323.2141,323.2386,,,,,,,,,323.2464
55380,1.223700,323.1653,323.1656,323.1664,323.1678,323.1696,323.1719,323.1743,323.1766,323.1780,323.1772,323.1718,323.1579,323.1282,,,,,,,,,323.1175
55440,1.223600,323.1686,323.1686,323.1689,323.1692,323.1694,323.1693,323.1686,323.1668,323.1636,323.1586,323.1521,323.1450,323.1397,,,,,,,,,323.1393
55500,1.223500,323.1670,323.1668,323.1664,323.1655,323.1641,323.1618,323.1584,323.1534,323.1460,323.1356,323.1205,323.0986,323.0659,,,,,,,,,323.0558
55560,1.223400,323.1607,323.1604,323.1594,323.1577,323.1551,323.1516,323.1472,323.1419,323.1360,323.1303,323.1264,323.1273,323.1386,,,,,,,,,323.1437
55620,1.223300,323.1540,323.1537,323.1529,323.1515,323.1498,323.1477,323.1457,323.1441,323.1434,323.1443,323.1476,323.1537,323.1629,,,,,,,,,323.1654
55680,1.223200,323.1500,323.1499,323.1494,323.1488,323.1479,323.1469,323.1459,323.1449,323.1438,323.1420,323.1388,323.1326,323.1207,,,,,,,,,323.1166
55740,1.223100,323.1476,323.1475,323.1472,323.1467,323.1461,323.1453,323.1445,323.1436,323.1429,323.1427,323.1437,323.1472,323.1559,,,,,,,,,323.1591
55800,1.223000,323.1459,323.1458,323.1456,323.1452,323.1447,323.1441,323.1432,323.1420,323.1403,323.1377,323.1331,323.1251,323.1104,,,,,,,,,323.1055
55860,1.222933,323.1443,323.1442,323.1440,323.1436,323.1432,323.1427,323.1422,323.1419,323.1423,323.1440,323.1485,323.1581,323.1773,,,,,,,,,323.1838
55920,1.222867,323.1444,323.1444,323.1446,323.1449,323.1454,323.1464,323.1481,323.1508,323.1547,323.1605,323.1682,323.1780,323.1894,,,,,,,,,323.1921
55980,1.222800,323.1468,323.1469,323.1472,323.1479,323.1487,323.1498,323.1511,323.1522,323.1526,323.1515,323.1473,323.1373,323.1174,,,,,,,,,323.1107
56040,1.222733,323.1485,323.1485,323.1487,323.1490,323.1494,323.1497,323.1500,323.1503,323.1508,323.1519,323.1549,323.1621,323.1780,,,,,,,,,323.1837
56100,1.222667,323.1498,323.1499,323.1501,323.1504,323.1510,323.1517,323.1526,323.1538,323.1554,323.1571,323.1587,323.1591,323.1562,,,,,,,,,323.1546
56160,1.222600,323.1514,323.1514,323.1516,323.1520,323.1524,323.1530,323.1537,323.1544,323.1552,323.1558,323.1563,323.1568,323.1578,,,,,,,,,323.1581
56220,1.222533,323.1537,323.1538,323.1543,323.1551,323.1563,323.1582,323.1610,323.1654,323.1721,323.1825,323.1989,323.2248,323.2659,,,,,,,,,323.2783
56280,1.222467,323.1602,323.1605,323.1616,323.1636,323.1665,323.1707,323.1764,323.1839,323.1933,323.2046,323.2172,323.2292,323.2372,,,,,,,,,323.2378
56340,1.222400,323.1692,323.1696,323.1708,323.1728,323.1756,323.1789,323.1827,323.1862,323.1887,323.1889,323.1845,323.1725,323.1485,,,,,,,,,323.1407
56400,1.222333,323.1748,323.1750,323.1756,323.1764,323.1774,323.1781,323.1783,323.1775,323.1754,323.1715,323.1659,323.1592,323.1532,,,,,,,,,323.1523
56460,1.222267,323.1759,323.1760,323.1760,323.1759,323.1757,323.1752,323.1743,323.1731,323.1714,323.1697,323.1682,323.1676,323.1690,,,,,,,,,323.1696
56520,1.222200,323.1757,323.1757,323.1757,323.1758,323.1759,323.1763,323.1772,323.1788,323.1820,323.1876,323.1973,323.2131,323.2388,,,,,,,,,323.2464
56580,1.222133,323.1773,323.1774,323.1777,323.1782,323.1789,323.1799,323.1812,323.1824,323.1832,323.1826,323.1784,323.1671,323.1422,,,,,,,,,323.1337
56640,1.222067,323.1782,323.1782,323.1782,323.1782,323.1781,323.1776,323.1766,323.1749,323.1721,323.1681,323.1629,323.1574,323.1539,,,,,,,,,323.1538
56700,1.222000,323.1761,323.1760,323.1755,323.1747,323.1734,323.1713,323.1684,323.1641,323.1579,323.1492,323.1367,323.1184,323.0908,,,,,,,,,323.0828
56760,1.221933,323.1699,323.1695,323.1685,323.1667,323.1639,323.1600,323.1547,323.1478,323.1388,323.1276,323.1140,323.0984,323.0815,,,,,,,,,323.0777
56820,1.221867,323.1614,323.1610,323.1598,323.1579,323.1553,323.1522,323.1488,323.1457,323.1438,323.1448,323.1515,323.1679,323.2009,,,,,,,,,323.2115
56880,1.221800,323.1574,323.1573,323.1571,323.1569,323.1571,323.1580,323.1604,323.1652,323.1734,323.1865,323.2060,323.2336,323.2710,,,,,,,,,323.2808
56940,1.221733,323.1622,323.1625,323.1635,323.1654,323.1684,323.1730,323.1794,323.1881,323.1996,323.2138,323.2306,323.2491,323.2675,,,,,,,,,323.2713
57000,1.221667,323.1728,323.1733,323.1749,323.1776,323.1815,323.1865,323.1927,323.1999,323.2075,323.2149,323.2205,323.2225,323.2179,,,,,,,,,323.2155
57060,1.221600,323.1830,323.1834,323.1847,323.1867,323.1894,323.1925,323.1958,323.1986,323.2004,323.2003,323.1973,323.1901,323.1773,,,,,,,,,323.1735
57120,1.221533,323.1883,323.1884,323.1889,323.1895,323.1902,323.1904,323.1899,323.1881,323.1843,323.1777,323.1672,323.1515,323.1288,,,,,,,,,323.1226
57180,1.221467,323.1878,323.1877,323.1875,323.1870,323.1861,323.1846,323.1826,323.1798,323.1765,323.1732,323.1710,323.1721,323.1804,,,,,,,,,323.1837
57240,1.221400,323.1849,323.1848,323.1843,323.1836,323.1825,323.1812,323.1795,323.1775,323.1753,323.1726,323.1693,323.1642,323.1554,,,,,,,,,323.1526
57300,1.221333,323.1818,323.1816,323.1812,323.1805,323.1795,323.1783,323.1769,323.1754,323.1739,323.1727,323.1723,323.1735,323.1781,,,,,,,,,323.1798
57360,1.221267,323.1797,323.1796,323.1794,323.1792,323.1789,323.1787,323.1787,323.1794,323.1809,323.1839,323.1891,323.1974,323.2100,,,,,,,,,323.2135
57420,1.221200,323.1801,323.1801,323.1803,323.1806,323.1812,323.1821,323.1835,323.1855,323.1883,323.1918,323.1958,323.2000,323.2033,,,,,,,,,323.2038
57480,1.221133,323.1812,323.1813,323.1813,323.1814,323.1814,323.1811,323.1803,323.1782,323.1740,323.1661,323.1520,323.1280,323.0877,,,,,,,,,323.0761
57540,1.221067,323.1790,323.1788,323.1783,323.1775,323.1761,323.1742,323.1715,323.1681,323.1642,323.1609,323.1600,323.1655,323.1848,,,,,,,,,323.1918
57600,1.221000,323.1760,323.1759,323.1756,323.1752,323.1747,323.1744,323.1746,323.1758,323.1787,323.1842,323.1935,323.2076,323.2272,,,,,,,,,323.2321
57660,1.220933,323.1766,323.1767,323.1769,323.1774,323.1782,323.1795,323.1814,323.1841,323.1875,323.1914,323.1951,323.1969,323.1945,,,,,,,,,323.1930
57720,1.220867,323.1793,323.1794,323.1798,323.1804,323.1813,323.1825,323.1838,323.1851,323.1862,323.1868,323.1865,323.1848,323.1815,,,,,,,,,323.1806
57780,1.220800,323.1808,323.1808,323.1809,323.1810,323.1810,323.1807,323.1799,323.1781,323.1748,323.1690,323.1595,323.1444,323.1207,,,,,,,,,323.1142
57840,1.220733,323.1793,323.1792,323.1789,323.1784,323.1775,323.1763,323.1747,323.1727,323.1708,323.1698,323.1710,323.1775,323.1944,,,,,,,,,323.2000
57900,1.220667,323.1771,323.1770,323.1768,323.1763,323.1757,323.1749,323.1740,323.1731,323.1720,323.1705,323.1677,323.1619,323.1496,,,,,,,,,323.1456
57960,1.220600,323.1755,323.1754,323.1752,323.1749,323.1745,323.1741,323.1738,323.1737,323.1742,323.1759,323.1798,323.1879,323.2040,,,,,,,,,323.2089
58020,1.220533,323.1757,323.1757,323.1759,323.1762,323.1768,323.1778,323.1794,323.1820,323.1859,323.1916,323.1994,323.2096,323.2222,,,,,,,,,323.2251
58080,1.220467,323.1784,323.1785,323.1789,323.1797,323.1808,323.1822,323.1841,323.1861,323.1881,323.1894,323.1890,323.1851,323.1746,,,,,,,,,323.1712
58140,1.220400,323.1810,323.1811,323.1814,323.1819,323.1825,323.1831,323.1837,323.1841,323.1841,323.1836,323.1827,323.1819,323.1822,,,,,,,,,323.1826
58200,1.220333,323.1813,323.1812,323.1811,323.1808,323.1802,323.1790,323.1769,323.1734,323.1675,323.1580,323.1427,323.1183,323.0793,,,,,,,,,323.0686
58260,1.220267,323.1765,323.1762,323.1753,323.1737,323.1712,323.1676,323.1625,323.1557,323.1470,323.1365,323.1246,323.1130,323.1052,,,,,,,,,323.1045
58320,1.220200,323.1674,323.1670,323.1656,323.1632,323.1597,323.1550,323.1490,323.1413,323.1320,323.1205,323.1064,323.0885,323.0645,,,,,,,,,323.0584
58380,1.220133,323.1556,323.1551,323.1533,323.1504,323.1461,323.1405,323.1333,323.1244,323.1135,323.1006,323.0854,323.0678,323.0480,,,,,,,,,323.0437
58440,1.220067,323.1420,323.1413,323.1394,323.1361,323.1315,323.1255,323.1180,323.1090,323.0985,323.0867,323.0737,323.0597,323.0452,,,,,,,,,323.0422
58500,1.220000,323.1284,323.1278,323.1260,323.1230,323.1189,323.1139,323.1080,323.1017,323.0955,323.0902,323.0871,323.0881,323.0961,,,,,,,,,323.0990
58560,1.219933,323.1183,323.1179,323.1167,323.1149,323.1125,323.1099,323.1074,323.1056,323.1050,323.1066,323.1111,323.1197,323.1336,,,,,,,,,323.1371
58620,1.219867,323.1141,323.1140,323.1137,323.1133,323.1130,323.1132,323.1143,323.1166,323.1209,323.1279,323.1383,323.1532,323.1740,,,,,,,,,323.1790
58680,1.219800,323.1150,323.1151,323.1154,323.1159,323.1166,323.1177,323.1192,323.1207,323.1218,323.1214,323.1176,323.1070,323.0838,,,,,,,,,323.0768
58740,1.219733,323.1169,323.1169,323.1172,323.1176,323.1181,323.1189,323.1198,323.1210,323.1227,323.1259,323.1320,323.1444,323.1689,,,,,,,,,323.1762
58800,1.219667,323.1183,323.1183,323.1185,323.1186,323.1188,323.1188,323.1183,323.1170,323.1138,323.1073,323.0945,323.0703,323.0256,,,,,,,,,323.0130
58860,1.219600,323.1158,323.1156,323.1150,323.1139,323.1121,323.1093,323.1052,323.0992,323.0911,323.0805,323.0678,323.0544,323.0440,,,,,,,,,323.0428
58920,1.219533,323.1091,323.1087,323.1077,323.1060,323.1035,323.1002,323.0961,323.0915,323.0867,323.0824,323.0797,323.0803,323.0864,,,,,,,,,323.0885
58980,1.219467,323.1033,323.1031,323.1025,323.1016,323.1005,323.0996,323.0993,323.1003,323.1037,323.1109,323.1240,323.1460,323.1814,,,,,,,,,323.1905
59040,1.219400,323.1037,323.1038,323.1041,323.1048,323.1061,323.1083,323.1118,323.1170,323.1242,323.1336,323.1448,323.1567,323.1666,,,,,,,,,323.1679
59100,1.219333,323.1093,323.1096,323.1106,323.1122,323.1146,323.1180,323.1223,323.1277,323.1342,323.1415,323.1495,323.1579,323.1668,,,,,,,,,323.1686
59160,1.219267,323.1177,323.1181,323.1193,323.1215,323.1246,323.1288,323.1343,323.1414,323.1504,323.1622,323.1777,323.1988,323.2287,,,,,,,,,323.2360
59220,1.219200,323.1287,323.1292,323.1309,323.1337,323.1377,323.1432,323.1501,323.1588,323.1694,323.1818,323.1959,323.2110,323.2256,,,,,,,,,323.2282
59280,1.219133,323.1417,323.1423,323.1441,323.1472,323.1516,323.1573,323.1644,323.1728,323.1825,323.1934,323.2054,323.2185,323.2329,,,,,,,,,323.2359
59340,1.219067,323.1552,323.1559,323.1578,323.1610,323.1654,323.1713,323.1785,323.1872,323.1975,323.2098,323.2243,323.2419,323.2639,,,,,,,,,323.2688
59400,1.219000,323.1697,323.1704,323.1725,323.1760,323.1810,323.1876,323.1960,323.2063,323.2191,323.2347,323.2538,323.2775,323.3073,,,,,,,,,323.3140
59460,1.218967,323.1851,323.1858,323.1879,323.1914,323.1963,323.2023,323.2095,323.2173,323.2250,323.2314,323.2343,323.2299,323.2123,,,,,,,,,323.2067
59520,1.218933,323.1963,323.1967,323.1979,323.1998,323.2020,323.2040,323.2053,323.2048,323.2011,323.1925,323.1766,323.1504,323.1100,,,,,,,,,323.1002
59580,1.218900,323.1985,323.1985,323.1984,323.1982,323.1974,323.1959,323.1932,323.1890,323.1833,323.1765,323.1698,323.1661,323.1707,,,,,,,,,323.1732
59640,1.218867,323.1955,323.1953,323.1948,323.1939,323.1926,323.1910,323.1890,323.1870,323.1853,323.1845,323.1854,323.1887,323.1949,,,,,,,,,323.1964
59700,1.218833,323.1925,323.1924,323.1921,323.1915,323.1909,323.1902,323.1896,323.1893,323.1894,323.1901,323.1915,323.1935,323.1957,,,,,,,,,323.1961
59760,1.218800,323.1911,323.1910,323.1909,323.1906,323.1903,323.1900,323.1896,323.1891,323.1884,323.1873,323.1854,323.1818,323.1755,,,,,,,,,323.1738
59820,1.218767,323.1896,323.1895,323.1892,323.1887,323.1880,323.1869,323.1854,323.1830,323.1796,323.1746,323.1673,323.1567,323.1414,,,,,,,,,323.1377
59880,1.218733,323.1855,323.1853,323.1846,323.1833,323.1813,323.1783,323.1741,323.1681,323.1597,323.1481,323.1319,323.1093,323.0778,,,,,,,,,323.0705
59940,1.218700,323.1774,323.1770,323.1758,323.1736,323.1704,323.1660,323.1605,323.1536,323.1456,323.1370,323.1288,323.1231,323.1239,,,,,,,,,323.1252
60000,1.218667,323.1687,323.1683,323.1672,323.1654,323.1630,323.1603,323.1575,323.1553,323.1545,323.1564,323.1628,323.1761,323.1998,,,,,,,,,323.2058
60060,1.218633,323.1641,323.1639,323.1635,323.1628,323.1622,323.1617,323.1616,323.1621,323.1633,323.1651,323.1667,323.1663,323.1605,,,,,,,,,323.1583
60120,1.218600,323.1625,323.1625,323.1623,323.1620,323.1617,323.1613,323.1607,323.1597,323.1581,323.1554,323.1509,323.1437,323.1329,,,,,,,,,323.1304
60180,1.218567,323.1609,323.1608,323.1606,323.1602,323.1595,323.1586,323.1574,323.1559,323.1541,323.1522,323.1506,323.1501,323.1522,,,,,,,,,323.1531
60240,1.218533,323.1592,323.1592,323.1590,323.1586,323.1582,323.1578,323.1574,323.1573,323.1577,323.1590,323.1617,323.1665,323.1743,,,,,,,,,323.1762
60300,1.218500,323.1583,323.1583,323.1582,323.1580,323.1578,323.1575,323.1570,323.1562,323.1549,323.1524,323.1476,323.1389,323.1229,,,,,,,,,323.1187
60360,1.218467,323.1564,323.1562,323.1559,323.1552,323.1541,323.1524,323.1500,323.1464,323.1413,323.1341,323.1241,323.1108,323.0935,,,,,,,,,323.0897
60420,1.218433,323.1517,323.1514,323.1507,323.1494,323.1474,323.1447,323.1413,323.1369,323.1317,323.1258,323.1197,323.1143,323.1113,,,,,,,,,323.1112
60480,1.218400,323.1459,323.1456,323.1448,323.1435,323.1417,323.1395,323.1370,323.1344,323.1319,323.1302,323.1298,323.1318,323.1372,,,,,,,,,323.1387
60540,1.218367,323.1415,323.1413,323.1408,323.1400,323.1389,323.1377,323.1365,323.1355,323.1348,323.1346,323.1349,323.1355,323.1360,,,,,,,,,323.1360
60600,1.218333,323.1390,323.1389,323.1386,323.1382,323.1376,323.1370,323.1363,323.1357,323.1351,323.1346,323.1339,323.1329,323.1315,,,,,,,,,323.1311
60660,1.218300,323.1372,323.1371,323.1368,323.1364,323.1357,323.1348,323.1335,323.1318,323.1292,323.1254,323.1197,323.1110,323.0974,,,,,,,,,323.0942
60720,1.218267,323.1341,323.1339,323.1334,323.1325,323.1312,323.1292,323.1265,323.1229,323.1180,323.1115,323.1032,323.0927,323.0796,,,,,,,,,323.0769
60780,1.218233,323.1292,323.1290,323.1282,323.1270,323.1252,323.1228,323.1199,323.1164,323.1125,323.1085,323.1052,323.1035,323.1054,,,,,,,,,323.1063
60840,1.218200,323.1242,323.1240,323.1234,323.1223,323.1209,323.1193,323.1174,323.1156,323.1140,323.1129,323.1128,323.1138,323.1164,,,,,,,,,323.1170
60900,1.218167,323.1209,323.1208,323.1204,323.1198,323.1190,323.1182,323.1175,323.1169,323.1168,323.1171,323.1181,323.1200,323.1229,,,,,,,,,323.1235
60960,1.218133,323.1188,323.1188,323.1185,323.1180,323.1174,323.1165,323.1153,323.1136,323.1110,323.1069,323.1002,323.0892,323.0709,,,,,,,,,323.0664
