time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
1380,1.902633,302.6947,302.7044,302.7337,302.7827,302.8518,302.9415,303.0526,303.1857,303.3417,303.5218,303.7270,303.9585,304.2177,304.5061,304.8252,305.1767,305.5629,305.9869,306.4555,306.9854,,307.0005
1440,1.898400,302.8826,302.8929,302.9236,302.9751,303.0477,303.1419,303.2583,303.3977,303.5609,303.7489,303.9629,304.2040,304.4734,304.7726,305.1028,305.4653,305.8620,306.2959,306.7736,,,307.3028
1500,1.894167,303.0799,303.0906,303.1229,303.1768,303.2528,303.3512,303.4728,303.6183,303.7884,303.9840,304.2063,304.4561,304.7347,305.0430,305.3819,305.7522,306.1551,306.5925,307.0698,,,307.5694
1560,1.889933,303.2862,303.2974,303.3310,303.3873,303.4665,303.5691,303.6956,303.8467,304.0231,304.2256,304.4551,304.7122,304.9979,305.3128,305.6577,306.0334,306.4414,306.8853,307.3730,,,307.8650
1620,1.885700,303.5011,303.5128,303.5477,303.6061,303.6883,303.7946,303.9255,304.0817,304.2636,304.4720,304.7075,304.9710,305.2631,305.5845,305.9360,306.3182,306.7326,307.1817,307.6718,,,308.1372
1680,1.881467,303.7239,303.7359,303.7720,303.8323,303.9172,304.0268,304.1617,304.3222,304.5091,304.7227,304.9638,305.2329,305.5305,305.8572,306.2136,306.6004,307.0192,307.4734,307.9712,,,308.4224
1740,1.877233,303.9536,303.9660,304.0031,304.0652,304.1524,304.2650,304.4033,304.5678,304.7589,304.9772,305.2231,305.4971,305.7999,306.1321,306.4946,306.8887,307.3168,307.7838,308.2996,,,308.7457
1800,1.873000,304.1896,304.2023,304.2403,304.3039,304.3932,304.5084,304.6498,304.8179,305.0130,305.2357,305.4865,305.7661,306.0751,306.4145,306.7853,307.1890,307.6279,308.1062,308.6332,,,309.0606
1860,1.870367,304.4309,304.4439,304.4827,304.5476,304.6386,304.7561,304.9003,305.0717,305.2706,305.4975,305.7532,306.0382,306.3533,306.6993,307.0771,307.4882,307.9350,308.4220,308.9589,,,309.3785
1920,1.867733,304.6770,304.6902,304.7298,304.7960,304.8888,305.0086,305.1556,305.3303,305.5330,305.7644,306.0249,306.3152,306.6360,306.9878,307.3713,307.7872,308.2368,308.7225,309.2513,,,309.6429
1980,1.865100,304.9280,304.9414,304.9818,305.0492,305.1438,305.2659,305.4157,305.5936,305.8000,306.0353,306.2999,306.5943,306.9186,307.2732,307.6583,308.0743,308.5228,309.0075,309.5371,,,309.9160
2040,1.862467,305.1837,305.1974,305.2385,305.3071,305.4034,305.5276,305.6798,305.8605,306.0698,306.3080,306.5756,306.8726,307.1993,307.5559,307.9429,308.3609,308.8119,309.3001,309.8348,,,310.2021
2100,1.859833,305.4437,305.4577,305.4994,305.5691,305.6667,305.7926,305.9469,306.1297,306.3413,306.5820,306.8519,307.1512,307.4802,307.8391,308.2281,308.6479,309.0998,309.5874,310.1188,,,310.4658
2160,1.857200,305.7075,305.7216,305.7638,305.8344,305.9332,306.0604,306.2163,306.4009,306.6145,306.8571,307.1289,307.4300,307.7605,308.1204,308.5097,308.9291,309.3800,309.8661,310.3964,,,310.7276
2220,1.854567,305.9742,305.9884,306.0311,306.1023,306.2021,306.3305,306.4877,306.6737,306.8886,307.1326,307.4057,307.7079,308.0392,308.3997,308.7898,309.2104,309.6637,310.1548,310.6942,,,311.0173
2280,1.851933,306.2433,306.2576,306.3007,306.3724,306.4729,306.6021,306.7603,306.9474,307.1634,307.4085,307.6828,307.9862,308.3190,308.6813,309.0734,309.4962,309.9513,310.4426,310.9785,,,311.2811
2340,1.849300,306.5142,306.5287,306.5720,306.6441,306.7452,306.8751,307.0341,307.2221,307.4392,307.6855,307.9609,308.2655,308.5993,308.9626,309.3556,309.7794,310.2367,310.7326,311.2784,,,311.5732
2400,1.846667,306.7867,306.8012,306.8447,306.9172,307.0188,307.1494,307.3091,307.4979,307.7159,307.9632,308.2397,308.5455,308.8809,309.2460,309.6412,310.0675,310.5267,311.0227,311.5643,,,311.8384
2460,1.844033,307.0605,307.0751,307.1188,307.1916,307.2936,307.4248,307.5852,307.7748,307.9938,308.2421,308.5197,308.8267,309.1631,309.5291,309.9250,310.3520,310.8126,311.3120,311.8617,,,312.1259
2520,1.841400,307.3355,307.3501,307.3940,307.4672,307.5696,307.7013,307.8624,308.0528,308.2725,308.5217,308.8003,309.1084,309.4461,309.8135,310.2112,310.6401,311.1022,311.6017,312.1481,,,312.3930
2580,1.838767,307.6116,307.6263,307.6704,307.7438,307.8467,307.9789,308.1405,308.3316,308.5522,308.8022,309.0817,309.3907,309.7289,310.0964,310.4932,310.9197,311.3769,311.8681,312.4015,,,312.6236
2640,1.836133,307.8888,307.9036,307.9478,308.0215,308.1247,308.2574,308.4195,308.6111,308.8321,309.0824,309.3620,309.6704,310.0075,310.3732,310.7675,311.1915,311.6475,312.1412,312.6846,,,312.8979
2700,1.833500,308.1669,308.1817,308.2260,308.2999,308.4033,308.5362,308.6985,308.8902,309.1112,309.3613,309.6404,309.9483,310.2851,310.6508,311.0457,311.4709,311.9287,312.4235,312.9654,,,313.1612
2760,1.830867,308.4454,308.4603,308.5046,308.5785,308.6820,308.8149,308.9772,309.1688,309.3897,309.6397,309.9187,310.2265,310.5630,310.9279,311.3213,311.7436,312.1959,312.6813,313.2080,,,313.3818
