model,sigma_multiplier,path_count,mean_drying_time_h,standard_deviation_min,p05_drying_time_h,p95_drying_time_h,delta_mean_vs_original_min,delta_mean_vs_original_pct,p05_p95_width_min,range_min
原模型：3--4 h时间加权均值恒值边界,0,1,57.504722,0,57.504722,57.504722,0,0,0,0
OU随机边界：默认种子细网格代表路径,1,1,57.496111,,,,-0.51666667,-0.014974616,,
OU确定性极限：Huber均衡、无随机创新,0,1,57.499167,0,57.499167,57.499167,-0.33333333,-0.0096610423,0,0
OU随机边界：sigma_multiplier=0.5,0.5,24,57.499468,0.17500288,57.495833,57.503444,-0.31527778,-0.0091377359,0.45666667,0.73333333
OU随机边界：sigma_multiplier=1,1,60,57.500222,0.34459507,57.492361,57.508639,-0.27,-0.0078254443,0.97666667,1.4
OU随机边界：sigma_multiplier=1.5,1.5,24,57.501088,0.4157502,57.489417,57.510194,-0.21805556,-0.0063199319,1.2466667,1.6
OU随机边界：sigma_multiplier=2,2,24,57.501134,0.57222164,57.481389,57.5125,-0.21527778,-0.0062394232,1.8666667,1.9333333
